epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2742,2.08665,4.00648,1.46416,0.00373,0.79167,0.0081,0.00342,1.82029,3.91144,1.24246,0.00022,0.00022,0.00022
2,28.3276,1.91273,2.77451,1.35499,0.00353,0.75,0.00848,0.00385,1.47213,3.66314,1.19232,0.00043723,0.00043723,0.00043723
3,42.971,1.67118,2.10283,1.24316,0.00333,0.70833,0.00778,0.00294,1.77658,3.78967,1.25699,0.0006307,0.0006307,0.0006307
4,55.8653,1.84021,2.5977,1.21717,0.00373,0.79167,0.05398,0.01284,1.72595,3.66387,1.24143,0.00080041,0.00080041,0.00080041
5,68.9342,1.59967,1.75505,1.17482,0.00333,0.70833,0.09066,0.05468,1.81797,3.623,1.35138,0.00094636,0.00094636,0.00094636
6,81.0593,1.4496,1.71399,1.12505,0.00392,0.83333,0.20158,0.08942,1.68459,3.35272,1.26276,0.00106855,0.00106855,0.00106855
7,93.8573,1.35124,1.42375,1.08625,0.00294,0.625,0.14271,0.04116,2.02156,3.5917,1.55428,0.00116698,0.00116698,0.00116698
8,107.384,1.38719,1.55007,1.05453,0.57186,0.27904,0.42934,0.12035,1.84369,2.9207,1.40089,0.00124165,0.00124165,0.00124165
9,120.045,1.39308,1.42542,1.06276,0.58281,0.375,0.41579,0.14226,1.99137,2.60704,1.50781,0.001208,0.001208,0.001208
10,132.933,1.28385,1.31442,1.06586,0.62436,0.45833,0.48098,0.22261,1.83681,2.21896,1.36693,0.001109,0.001109,0.001109
11,147.901,1.38594,2.02406,1.04179,0.66182,0.29167,0.37137,0.19396,1.89665,2.7892,1.2998,0.00101,0.00101,0.00101
12,161.189,1.29369,1.52587,1.05422,0.55932,0.52923,0.52083,0.22024,1.99955,2.25166,1.36653,0.000911,0.000911,0.000911
13,174.368,1.41496,1.5117,1.09271,0.58469,0.46969,0.51901,0.24257,1.92799,2.10073,1.34609,0.000812,0.000812,0.000812
14,188.483,1.29521,1.37476,1.05307,0.69448,0.66313,0.68845,0.32458,1.84659,1.62191,1.30591,0.000713,0.000713,0.000713
15,203.455,1.26342,1.24867,1.0176,0.83272,0.625,0.7591,0.35214,1.74734,1.49202,1.23524,0.000614,0.000614,0.000614
16,217.792,1.17266,1.22794,0.99814,0.77633,0.625,0.73648,0.36792,1.74127,1.42239,1.28943,0.000515,0.000515,0.000515
17,232.437,1.10784,1.13974,0.97491,0.64572,0.70833,0.68848,0.33504,1.77083,1.51552,1.2944,0.000416,0.000416,0.000416
18,249.503,1.13159,1.15194,0.99682,0.7078,0.70658,0.69342,0.32405,1.73083,1.38261,1.3118,0.000317,0.000317,0.000317
19,265.636,1.0465,1.0618,0.94542,0.65505,0.79126,0.71108,0.37875,1.74794,1.37553,1.34472,0.000218,0.000218,0.000218
20,282.356,1.10902,1.08089,0.95046,0.68942,0.74023,0.68107,0.34131,1.78459,1.33723,1.37179,0.000119,0.000119,0.000119
